Ref,Val,Package,PosX,PosY,Rot,Side
"U5","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",34.460000,-94.440000,90.000000,top
"U6","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",41.460000,-94.440000,90.000000,top
"U6","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",167.504466,-11.595534,-90.000000,top
"U7","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",48.460000,-94.440000,90.000000,top
"U7","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",160.504466,-11.595534,-90.000000,top
"U8","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",153.504466,-11.595534,-90.000000,top
"U8","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",55.460000,-94.440000,90.000000,top
"U9","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",69.460000,-94.440000,90.000000,top
"U9","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",139.504466,-11.595534,-90.000000,top
"U10","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",132.504466,-11.595534,-90.000000,top
"U10","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",76.460000,-94.440000,90.000000,top
"U11","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",83.460000,-94.440000,90.000000,top
"U11","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",125.504466,-11.595534,-90.000000,top
"U12","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",118.504466,-11.595534,-90.000000,top
"U12","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",90.460000,-94.440000,90.000000,top
"U13","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.460000,-94.440000,90.000000,top
"U13","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",111.504466,-11.595534,-90.000000,top
"U14","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.504466,-11.595534,-90.000000,top
"U14","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",111.460000,-94.440000,90.000000,top
"U15","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",90.504466,-11.595534,-90.000000,top
"U15","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",118.460000,-94.440000,90.000000,top
"U16","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",83.504466,-11.595534,-90.000000,top
"U16","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",125.460000,-94.440000,90.000000,top
"U17","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",76.504466,-11.595534,-90.000000,top
"U17","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",132.460000,-94.440000,90.000000,top
"U18","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",139.460000,-94.440000,90.000000,top
"U18","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",69.504466,-11.595534,-90.000000,top
"U19","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",62.504466,-11.595534,-90.000000,top
"U19","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",146.460000,-94.440000,90.000000,top
"U20","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",55.504466,-11.595534,-90.000000,top
"U20","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",153.460000,-94.440000,90.000000,top
"U21","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",167.460000,-94.440000,90.000000,top
"U21","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",41.504466,-11.595534,-90.000000,top
"U22","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",34.504466,-11.595534,-90.000000,top
"U22","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",174.460000,-94.440000,90.000000,top
"U23","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",181.460000,-94.440000,90.000000,top
"U23","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",27.504466,-11.595534,-90.000000,top
"U24","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",188.460000,-94.440000,90.000000,top
"U24","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",20.504466,-11.595534,-90.000000,top
"U25","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",195.460000,-94.440000,90.000000,top
"U25","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",13.504466,-11.595534,-90.000000,top
"U26","XRA1201PIG24","TSSOP-24_4.4x7.8mm_P0.65mm",74.460000,-81.940000,0.000000,top
"U26","XRA1201PIG24","TSSOP-24_4.4x7.8mm_P0.65mm",134.504466,-24.095534,180.000000,top
"U27","XRA1201PIG24","TSSOP-24_4.4x7.8mm_P0.65mm",160.460000,-82.440000,90.000000,top
"U27","XRA1201PIG24","TSSOP-24_4.4x7.8mm_P0.65mm",48.504466,-23.595534,-90.000000,top
"U28","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",192.460000,-60.440000,-90.000000,top
"U28","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",16.504466,-45.595534,90.000000,top
"U29","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",27.004466,-45.595534,90.000000,top
"U29","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",181.960000,-60.440000,-90.000000,top
"U30","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",41.004466,-45.595534,90.000000,top
"U30","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",167.960000,-60.440000,-90.000000,top
"U31","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",157.460000,-60.440000,-90.000000,top
"U31","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",51.504466,-45.595534,90.000000,top
"U32","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",65.504466,-45.595534,90.000000,top
"U32","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",143.460000,-60.440000,-90.000000,top
"U33","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",132.960000,-60.440000,-90.000000,top
"U33","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",76.004466,-45.595534,90.000000,top
"U34","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",90.004466,-45.595534,90.000000,top
"U34","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",118.960000,-60.440000,-90.000000,top
"U35","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",100.504466,-45.595534,90.000000,top
"U35","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",108.460000,-60.440000,-90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot-5mm-wide",5.000000,-53.000000,0.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot-5mm-wide",204.000000,-53.000000,0.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot-5mm-wide",104.500000,-53.000000,0.000000,top
